Title,Description
ahaz: Regularization for semiparametric additive hazards regression,Computationally efficient procedures for regularized estimation with the semiparametric additive hazards regression model.
arules: Mining Association Rules and Frequent Itemsets,"Provides the infrastructure for representing, manipulating and analyzing transaction data and patterns (frequent itemsets and association rules). Also provides C implementations of the association mining algorithms Apriori and Eclat."
BART: Bayesian Additive Regression Trees,"Bayesian Additive Regression Trees (BART) provide flexible nonparametric modeling of covariates for continuous, binary, categorical and time-to-event outcomes. For more information on BART, see Chipman, George and McCulloch (2010) <doi:10.1214/09-AOAS285> and Sparapani, Logan, McCulloch and Laud (2016) <doi:10.1002/sim.6893>."
bartMachine: Bayesian Additive Regression Trees,An advanced implementation of Bayesian Additive Regression Trees with expanded features for data analysis and visualization.
BayesTree: Bayesian Additive Regression Trees,"This is an implementation of BART:Bayesian Additive Regression Trees, by Chipman, George, McCulloch (2010)."
BDgraph: Bayesian Structure Learning in Graphical Models using Birth-Death MCMC,"Statistical tools for Bayesian structure learning in undirected graphical models for continuous, discrete, and mixed data. The package is implemented the recent improvements in the Bayesian graphical models literature, including Mohammadi and Wit (2015) <doi:10.1214/14-BA889>, Letac et al. (2018) <arXiv:1706.04416>, Dobra and Mohammadi (2018) <doi:10.1214/18-AOAS1164>, Mohammadi et al. (2017) <doi:10.1111/rssc.12171>. To speed up the computations, the BDMCMC sampling algorithms are implemented in parallel using OpenMP in C++."
biglasso: Extending Lasso Model Fitting to Big Data,"Extend lasso and elastic-net model fitting for ultrahigh-dimensional, multi-gigabyte data sets that cannot be loaded into memory. It's much more memory- and computation-efficient as compared to existing lasso-fitting packages like 'glmnet' and 'ncvreg', thus allowing for very powerful big data analysis even with an ordinary laptop."
bmrm: Bundle Methods for Regularized Risk Minimization Package,"Bundle methods for minimization of convex and non-convex risk under L1 or L2 regularization. Implements the algorithm proposed by Teo et al. (JMLR 2010) as well as the extension proposed by Do and Artieres (JMLR 2012). The package comes with lot of loss functions for machine learning which make it powerful for big data analysis. The applications includes: structured prediction, linear SVM, multi-class SVM, f-beta optimization, ROC optimization, ordinal regression, quantile regression, epsilon insensitive regression, least mean square, logistic regression, least absolute deviation regression (see package examples), etc... all with L1 and L2 regularization."
Boruta: Wrapper Algorithm for All Relevant Feature Selection,"An all relevant feature selection wrapper algorithm. It finds relevant features by comparing original attributes' importance with importance achievable at random, estimated using their permuted copies (shadows)."
bst: Gradient Boosting,"Functional gradient descent algorithm for a variety of convex and non-convex loss functions, for both classical and robust regression and classification problems. See Wang (2011) <doi:10.2202/1557-4679.1304>, Wang (2012) <doi:10.3414/ME11-02-0020>, Wang (2018) <doi:10.1080/10618600.2018.1424635>, Wang (2018) <doi:10.1214/18-EJS1404>."
C50: C5.0 Decision Trees and Rule-Based Models,"C5.0 decision trees and rule-based models for pattern recognition that extend the work of Quinlan (1993, ISBN:1-55860-238-0)."
caret: Classification and Regression Training,Misc functions for training and plotting classification and regression models.
"CORElearn: Classification, Regression and Feature Evaluation","A suite of machine learning algorithms written in C++ with the R interface contains several learning techniques for classification and regression. Predictive models include e.g., classification and regression trees with optional constructive induction and models in the leaves, random forests, kNN, naive Bayes, and locally weighted regression. All predictions obtained with these models can be explained and visualized with the 'ExplainPrediction' package. This package is especially strong in feature evaluation where it contains several variants of Relief algorithm and many impurity based attribute evaluation functions, e.g., Gini, information gain, MDL, and DKM. These methods can be used for feature selection or discretization of numeric attributes. The OrdEval algorithm and its visualization is used for evaluation of data sets with ordinal features and class, enabling analysis according to the Kano model of customer satisfaction. Several algorithms support parallel multithreaded execution via OpenMP. The top-level documentation is reachable through ?CORElearn."
CoxBoost: Cox models by likelihood based boosting for a single survival endpoint or competing risks,This package provides routines for fitting Cox models by likelihood based boosting for a single endpoint or in presence of competing risks
Cubist: Rule- And Instance-Based Regression Modeling,Regression modeling using rules with added instance-based corrections.
deepnet: deep learning toolkit in R,"Implement some deep learning architectures and neural network algorithms, including BP,RBM,DBN,Deep autoencoder and so on."
"e1071: Misc Functions of the Department of Statistics, Probability Theory Group (Formerly: E1071), TU Wien","Functions for latent class analysis, short time Fourier transform, fuzzy clustering, support vector machines, shortest path computation, bagged clustering, naive Bayes classifier, ..."
earth: Multivariate Adaptive Regression Splines,"Build regression models using the techniques in Friedman's papers ""Fast MARS"" and ""Multivariate Adaptive Regression Splines"" <doi:10.1214/aos/1176347963>. (The term ""MARS"" is trademarked and thus not used in the name of the package.)"
"effects: Effect Displays for Linear, Generalized Linear, and Other Models","Graphical and tabular effect displays, e.g., of interactions, for various statistical models with linear predictors."
elasticnet: Elastic-Net for Sparse Estimation and Sparse PCA,Provides functions for fitting the entire solution path of the Elastic-Net and also provides functions for estimating sparse Principal Components. The Lasso solution paths can be computed by the same function. First version: 2005-10.
"ElemStatLearn: Data Sets, Functions and Examples from the Book: ""The Elements of Statistical Learning, Data Mining, Inference, and Prediction"" by Trevor Hastie, Robert Tibshirani and Jerome Friedman","Useful when reading the book above mentioned, in the documentation referred to as ‘the book’."
evclass: Evidential Distance-Based Classification,"Different evidential distance-based classifiers, which provide outputs in the form of Dempster-Shafer mass functions. The methods are: the evidential K-nearest neighbor rule and the evidential neural network."
evtree: Evolutionary Learning of Globally Optimal Trees,"Commonly used classification and regression tree methods like the CART algorithm are recursive partitioning methods that build the model in a forward stepwise search. Although this approach is known to be an efficient heuristic, the results of recursive tree methods are only locally optimal, as splits are chosen to maximize homogeneity at the next step only. An alternative way to search over the parameter space of trees is to use global optimization methods like evolutionary algorithms. The 'evtree' package implements an evolutionary algorithm for learning globally optimal classification and regression trees in R. CPU and memory-intensive tasks are fully computed in C++ while the 'partykit' package is leveraged to represent the resulting trees in R, providing unified infrastructure for summaries, visualizations, and predictions."
frbs: Fuzzy Rule-Based Systems for Classification and Regression Tasks,"An implementation of various learning algorithms based on fuzzy rule-based systems (FRBSs) for dealing with classification and regression tasks. Moreover, it allows to construct an FRBS model defined by human experts. FRBSs are based on the concept of fuzzy sets, proposed by Zadeh in 1965, which aims at representing the reasoning of human experts in a set of IF-THEN rules, to handle real-life problems in, e.g., control, prediction and inference, data mining, bioinformatics data processing, and robotics. FRBSs are also known as fuzzy inference systems and fuzzy models. During the modeling of an FRBS, there are two important steps that need to be conducted: structure identification and parameter estimation. Nowadays, there exists a wide variety of algorithms to generate fuzzy IF-THEN rules automatically from numerical data, covering both steps. Approaches that have been used in the past are, e.g., heuristic procedures, neuro-fuzzy techniques, clustering methods, genetic algorithms, squares methods, etc. Furthermore, in this version we provide a universal framework named 'frbsPMML', which is adopted from the Predictive Model Markup Language (PMML), for representing FRBS models. PMML is an XML-based language to provide a standard for describing models produced by data mining and machine learning algorithms. Therefore, we are allowed to export and import an FRBS model to/from 'frbsPMML'. Finally, this package aims to implement the most widely used standard procedures, thus offering a standard package for FRBS modeling to the R community."
GAMBoost: Generalized linear and additive models by likelihood based boosting,"This package provides routines for fitting generalized linear and and generalized additive models by likelihood based boosting, using penalized B-splines"
gamboostLSS: Boosting Methods for 'GAMLSS',"Boosting models for fitting generalized additive models for location, shape and scale ('GAMLSS') to potentially high dimensional data."
